,Time,sailActive,sailPosX,sailPosY,sailPosZ,earthPosX,earthPosY,earthPosZ,distanceToNEO
159,795.0,1,-0.41580614365562685,-0.5916282148300629,-0.0002538665316076643,0.994995756065642,-0.14647848943109862,3.315731018111246e-05,0.6254937647957197
160,800.0,1,-0.31632746849045795,-0.6532902309469147,0.005257205044447627,1.0025043042428072,-0.061234060437132115,2.961652623672593e-05,0.6527126011756207
161,805.0,1,-0.2106199136532963,-0.7040014974280552,0.01057517990480552,1.00269546889895,0.02445689708422149,2.5859586847569157e-05,0.6904978238411885
162,810.0,1,-0.10065070139541495,-0.7432619634299895,0.015659900097992487,0.9955376988711002,0.10996816969205324,2.1913137053449063e-05,0.736500395073233
163,815.0,1,0.01161775563853612,-0.7711058293229804,0.020502454218436775,0.9810528732649081,0.19466964099195452,1.7805428430492912e-05,0.7880980468121701
164,820.0,1,0.12439187303865153,-0.7880309799170988,0.02511995633281654,0.9593170435722101,0.2779318425129137,1.3566139228796064e-05,0.8428259001568801
165,825.0,1,0.2361555104103039,-0.7948781221858863,0.0295450757369115,0.9304607887793077,0.35913065578805264,9.226177476373546e-06,0.8986012907170449
166,830.0,1,0.3457165213485465,-0.7926959435599347,0.03381263335489311,0.8946691538180795,0.4376521330949541,4.817467681830642e-06,0.9537852706222568
167,835.0,1,0.4522034162609794,-0.7826197795211579,0.03794615141623364,0.8521811442381361,0.5128973987003418,3.727220823587918e-07,1.0071520323544383
168,840.0,1,0.5550315311301743,-0.7657767530251025,0.04194724704377069,0.8032887535514258,0.5842875869508692,-4.0748022787598465e-06,1.057822621732603
169,845.0,1,0.6538557937412828,-0.7432187170775011,0.04579046808475686,0.7483355043511234,0.6512687683538713,-8.491559007839174e-06,1.1051954888038917
170,850.0,1,0.7485208005524759,-0.7158788583015485,0.04942556946626048,0.6877144900262145,0.7133168101117555,-1.2843978353260418e-05,1.1488875555156008
171,855.0,1,0.8390128937212763,-0.6845475094780614,0.05278806007237697,0.6218659106311215,0.7699421136315459,-1.7098741384262742e-05,1.1886877688571797
172,860.0,1,0.9254102283582497,-0.6498798241807858,0.05588251547388298,0.5512741041259498,0.8206941685476459,-2.1223059668952298e-05,1.2245172054721343
173,865.0,1,1.0078648134768486,-0.6123895560271692,0.058764032938307946,0.4764640826307354,0.8651658609768309,-2.5184957458189082e-05,1.2564141304441325
174,870.0,1,1.0865476277870243,-0.5725049104315052,0.06142880049285668,0.39799759233814286,0.9029974732549246,-2.895355311961914e-05,1.2844445843570194
175,875.0,1,1.1616278939399802,-0.5306065150831258,0.06386766465004819,0.31646872506334345,0.9338803134305861,-3.249933636043534e-05,1.3086774101575465
176,880.0,1,1.2332765284194125,-0.48702792388807514,0.0660925870687099,0.23249911879774848,0.9575599154138379,-3.5794437640403615e-05,1.3291954428477744
177,885.0,1,1.3016647580102774,-0.44206034752494916,0.06813837202114928,0.14673279376742757,0.9738387549377729,-3.881288611840071e-05,1.3460968619581102
178,890.0,1,1.366957866317964,-0.3959689774904142,0.07004928813432151,0.05983067907131714,0.9825784323666236,-4.153085250331535e-05,1.3594835580471558
179,895.0,1,1.4293132697588051,-0.34900180207744036,0.0718492136831303,-0.02753510739175982,0.9837012807895589,-4.392687330026207e-05,1.3694550422984422
180,900.0,1,1.488887441753321,-0.30135937698734927,0.07352046675695095,-0.11468715645105225,0.9771913665917143,-4.598205315143805e-05,1.3761357934369711
181,905.0,1,1.545829366407268,-0.25318941182192384,0.07506736427134804,-0.200948768456297,0.9630948596058059,-4.768024227357016e-05,1.3796904605844085
182,910.0,1,1.600277215951475,-0.20462223489831272,0.07650127947262686,-0.28564997975170603,0.9415197606870037,-4.9008186374264826e-05,1.3803035758699362
183,915.0,1,1.652360575497478,-0.15576954615017968,0.07783022343510207,-0.36813353577238117,0.9126349858284729,-4.9955646884911745e-05,1.378187483967258
